ID	Order	Title	Location	Size (Sq. Ft)	Role	Designed By	Architecture by	Categories	Permalink	Image Featured	Slug
1907	17	Sullivan St duplex	SOHO	6000	Millwork + Finishes	Butter and Eggs Design	Michael Tower Architecture	Residential	https://www.streamlineusa.com/residential/sullivan-st-duplex-2/	http://www.streamlineusa.com/wp-content/uploads/2020/02/DSC_0847-scaled.jpg	sullivan-st-duplex-2
1931	18	Mackage SoHo	SoHo	4500	General Contractor	Burdifilek		Commercial	https://www.streamlineusa.com/commercial/mackage-soho/	http://www.streamlineusa.com/wp-content/uploads/2020/02/IMG_8648-scaled.jpg	mackage-soho
2306	2	e64th St Townhouse	Lenox Hill	3800	General Contractor	Virginia Tupker Interiors	MZA Architecture	Residential	https://www.streamlineusa.com/residential/e64-st-townhouse/	http://www.streamlineusa.com/wp-content/uploads/2020/05/20200416_118East64th-3022.jpg	e64-st-townhouse
2345	22	Motel 23 Lounge	Chelsea	3500	General Contractor	Colin Fuda	Atelier New York	Commercial	https://www.streamlineusa.com/commercial/motel-23-lounge/	http://www.streamlineusa.com/wp-content/uploads/2020/05/Motel-23-Featured.jpg	motel-23-lounge
2366	22	Wainscott, East Hampton Residence	Wainscott, East Hampton	3200	Construction Consultant	Nathalie Akiya Design		Residential	https://www.streamlineusa.com/residential/wainscott-east-hampton-residence/	http://www.streamlineusa.com/wp-content/uploads/2020/05/IMG_1256.png	wainscott-east-hampton-residence
2384	23	Ground Central Coffee Company	Murray Hill	550	General Contractor	Daniel O'Connor Architects	Daniel O'Connor Architects	Commercial	https://www.streamlineusa.com/commercial/ground-central-coffee-company/	http://www.streamlineusa.com/wp-content/uploads/2020/05/Ground-Central-Featured.jpg	ground-central-coffee-company
2396	16	84th st townhouse	Jackson Heights	2200	General Contractor	Nathalie Akiya Design	SWA Architecture	Residential	https://www.streamlineusa.com/residential/84th-st-townhouse/	http://www.streamlineusa.com/wp-content/uploads/2020/05/Jackson-Heights-Featured.png	84th-st-townhouse
2409	18	Upper West Side Apartment	Upper West Side	1400	General Contractor	Yael and Ori Morag	MZA Architecture	Residential	https://www.streamlineusa.com/residential/upper-west-side-apartment/	http://www.streamlineusa.com/wp-content/uploads/2020/05/Upper-West-Side-Apt-Featured.jpg	upper-west-side-apartment
2425	19	My Darling Ivy	Chelsea	1500	General Contractor	VJ Moscaritola	Studio Stigsby	Commercial	https://www.streamlineusa.com/commercial/my-darling-ivy/	http://www.streamlineusa.com/wp-content/uploads/2020/05/My-Darling-Ivy-Featured.jpg	my-darling-ivy
2504	8	12th st townhouse	Greenwich Village	7000	Carpentry Millwork + Finishes	Elisabeth de Kergorlay		Residential	https://www.streamlineusa.com/residential/12th-st-townhouse-greenwich-village/	http://www.streamlineusa.com/wp-content/uploads/2020/07/5th-Ave-Featured-copy.jpg	12th-st-townhouse-greenwich-village
2520	16	Haus Nightclub	Lower Manhattan	5500	General Contractor	John Rawlins Design	SWA Architecture	Commercial	https://www.streamlineusa.com/commercial/haus-nightclub/	http://www.streamlineusa.com/wp-content/uploads/2020/07/Haus-Featured.jpg	haus-nightclub
2838	19	53rd st studio	Hell's Kitchen	750	General Contractor	LDN interiors		Residential	https://www.streamlineusa.com/residential/53rd-st-studio/	http://www.streamlineusa.com/wp-content/uploads/2022/02/20210310_425West53rdSt-3669.jpg	53rd-st-studio
2842	6	Riverside Drive Apartment	Morningside Heights	2900	General Contractor	Samantha Orley Interiors	MZA Architecture	Residential	https://www.streamlineusa.com/residential/riverside-drive-apartment/	http://www.streamlineusa.com/wp-content/uploads/2022/02/420-riverside-134.jpg	riverside-drive-apartment
2847	7	WARREN ST APT	Tribeca	2600	General Contractor	Current Interiors	Michael Tower Architecture	Residential	https://www.streamlineusa.com/residential/warren-st-apt/	http://www.streamlineusa.com/wp-content/uploads/2022/02/20210222_30WarrenSt-0178.jpg	warren-st-apt
2850	12	Hudson Yards Mall	Hudson Yards	3500	General Contractor	Robert Jaimeson design		Commercial	https://www.streamlineusa.com/commercial/hudson-yards-mall/	http://www.streamlineusa.com/wp-content/uploads/2022/02/20210222_HudsonYardsMall-0087-scaled.jpg	hudson-yards-mall
2853	15	Vivvi Daycare Hudson Yards	Hudson Yards	7500	General Contractor	Eleven of Eleven design	Carol Gretter Elven of Eleven architecture	Commercial	https://www.streamlineusa.com/commercial/vivvi-daycare-hudson-yards/	http://www.streamlineusa.com/wp-content/uploads/2022/02/20210219_55HudsonYards-5373-scaled.jpg	vivvi-daycare-hudson-yards
2860	12	Wyckoff Townhouse	Boerum Hill	4500	General Contractor	Current Interiors, Rachel Kane, and Xandro Aventajado		Residential	https://www.streamlineusa.com/residential/wyckoff-townhouse/	http://www.streamlineusa.com/wp-content/uploads/2022/02/20211202_118WyckoffSt-0964-scaled.jpg	wyckoff-townhouse
