WP ID	Sort Order	Title	Location	Size \n(Sq. Ft)	Role	Designed By	Architecture By	Category	Sub-Category	Tag-line Blurb	Long Blurb	Link	Notes
540	15	E 63rd St Penthouse	Lenox Hill	1700	General Contractor + Millwork	Jennifer Aderholdt Design	SWA Architecture	Residential			A 1,700 sq ft gut renovation of an Upper East Side penthouse, 2 bedroom apartment with all custom millwork. We produced a fully customized outdoor experience, adding curves to the kitchen to allow the space to flow. One notable challenge was dealing with neighbors below during electrical upgrades and the work on the roof deck. We always worked closely with the building's super to preserve the roof membrane and warranties as we rebuilt the roof deck. Streamline's role was GC, and we self performed the millwork.	https://www.streamlineusa.com/residential/e63-st-penthouse/	
2396	16	84th St Townhouse	Jackson Heights	2200	General Contractor	Nathalie Akiya Design	SWA Architecture	Residential			A full gut renovation of this century old townhouse, we maximized the space and brought all the mechanicals to brand new high-tech status. A massive bathroom with steam shower and sunken tub, reclaimed wood, custom kitchen and rebuilding the front window bay are only a few of the major new features in this house. 3 bedrooms and 3 bathrooms overall. Interiors and furniture designed by owner Nathalie Akiya and co-managed by husband John Murray, this build out was one to remember. Streamline was the General Contractor for this project.	https://www.streamlineusa.com/residential/84th-st-townhouse/	
1907	17	Sullivan St Duplex	SoHo	6000	Millwork + Finishes	Butter and Eggs Design	Michael Tower Architecture	Residential			This duplex renovation consisted of new millwork, interior finishes throughout, electrical upgrades and light fixtures. This incredible apartment with high ceilings and vast floor space has it all. Streamline performed the interior finishes for this project.	https://www.streamlineusa.com/residential/sullivan-st-duplex-2/	
2409	18	Upper West Side Apartment	Upper West Side	1400	General Contractor	Yael and Ori Morag	MZA Architecture	Residential			This West End Ave beauty has its own NYC style. A gut renovation that included turning a powder room into a full bathroom with a new custom kitchen brought this unique apartment to the next level in its class. The closet with shelves for a DJ booth and classic record player gives the place a fun feel from the second you step in the door. Streamline was the General Contractor for this project.	https://www.streamlineusa.com/residential/upper-west-side-apartment/	
2838	19	53rd St Studio	Hell's Kitchen	750	General Contractor	LDN Interiors	Lynh Nguyen	Residential			A gut renovation of a studio apartment that transforms into an elaborate bedroom at night. With designer Lynh Nguyen's touch, the millwork was carefully integrated into the layout to make the space super dynamic for the client. She utilized the window wall and the long kitchen to make this beautiful studio apartment feel like home in a crowded city like NY.	https://www.streamlineusa.com/residential/53rd-st-studio/	
534	20	Thompson St. Studio	SoHo	600	General Contractor + Millwork	Efrain Perez	SWA Architecture	Residential			The project involved gut renovating a studio apartment on the 5th floor. We modernized the entire space, while dealing with a crooked ceiling and floor joists. We utilized existing landmarked windows and made them perfect again. Challenge: The building didn't have a freight elevator or mechanical, and piping was from the turn of the century. Streamline's role was GC, and we self performed the millwork.	https://www.streamlineusa.com/residential/thompson-st-studio/	
527	21	1st Ave Apartment	Murray Hill	2000	General Contractor + Millwork	Lua Scremin	SWA Architecture	Residential			Our goal was to gut renovate a poorly laid out apartment and modernize it. This project was on the 31st floor — 2 bedroom 2.5 bathroom apartment. Challenges: Working in a high rise building with multiple construction projects going on. Elevator use and logistics for operations is always a challenge. Bringing to life the vision of the design team within the budget of the client. Lessons: Having all the design intent worked out prior to start of the project. Utilizing the budget as a baseline in design. Using the amazing views of the city as a backdrop always creates a nice working environment. Streamline's role was GC, and we self performed the millwork.	https://www.streamlineusa.com/residential/1st-ave-apt/	
2366	22	Wainscott, East Hampton Residence	Wainscott, East Hampton	3200	Construction Consultant	Nathalie Akiya Design		Residential			This incredible country style home was designed by owners Nathalie and John. The wood beams and custom kitchen make the house a stunning piece of work for the Wainscott area. A 5 bedroom 6 bathroom house makes it as comfortable as it gets. A new roof and new siding were the last items on the list, and were completed this off-season. Streamline was the Construction Consultant for this project.	https://www.streamlineusa.com/residential/wainscott-east-hampton-residence/	⚠️ No Architect listed on site
	23	262 Mott St	SoHo	1400	General Contractor	Matthew Weiner		Residential					Not yet on site — need copy
	24	92 Laight St	Tribeca	2500	General Contractor	Holly Jonsson Design		Residential					Not yet on site — need copy
	25	652 Hudson St	Meatpacking District	1800	General Contractor	Built In Studios	Built In Studios	Residential					Not yet on site — need pics & copy
	26	700 Park Ave	Upper East Side	2100	General Contractor	Griffin Design Studios / Jorge Porta	Griffin Design Studios / Jorge Porta	Residential					Not yet on site — need copy; featured photo too low-res
	27	40 E 66th St	Upper East Side	2200	General Contractor	Cetra Ruddy	Cetra Ruddy	Residential					Not yet on site — need pics & copy
		870 UN Plaza											Not yet on site — need pics & copy
		149 Madison Ave											Not yet on site — need pics & copy
		220 W 19th St — Covision Corporate Office											Not yet on site — need pics & copy
		218 Carlton Ave Townhouse											Not yet on site — need pics & copy
		144 W 23rd St											Not yet on site — need pics & copy
		514 Broadway Loft											Not yet on site — need pics & copy
		Chaps & Co Men's Barber Shop											Not yet on site — need pics & copy
