wp_id	slug	title	category	location_live	size_sqft_live	role_raw_live	roles_atoms	designer_live	architect_live	architect_status	images	hero_capable	featured_in_gallery	in_workbook	sub_category	status	conflicts
3487	40-e66th-st	40 e66th st	residential	Upper East Side	2803	General Contractor	GC	Ximena Rodriguez of CR	Cetra Ruddy	ok	19	YES	yes	NO		live	size(wb 2200 vs live 2803); designer(wb Cetra Ruddy vs live Ximena Rodriguez of CR)
3490	652-hudson-st	652 Hudson st	residential	Meatpacking District	1800	General Contractor	GC	Angela Redei	Built In Studios	ok	21	YES	yes	NO		live	
3493	momofuku-noodle-bar-171-1st-ave	Momofuku Noodle Bar	commercial	East Village	3500	General Contractor	GC	Richard Lewis	Richard Lewis	ok	16	YES	yes	NO		live	size(wb 4200 vs live 3500)
3496	262-mott-st	262 Mott St	residential	SoHo	1598	General Contractor	GC	Matthew Weiner	None Involved	pseudo-blank	22	YES	yes	NO		live	size(wb 1400 vs live 1598)
3946	795-5th-ave-the-pierre	795 5th ave The Pierre	residential	5th Ave	1500	General Contractor	GC	Ryan Korbin Studios	Built-in Studios	ok	16	YES	yes	NO		live	
3966	lantern-house	Lantern House	residential	Chelsea	4200	General Contractor	GC	Catalina Castaneo interiors	None	pseudo-blank	16	YES	yes	NO		live	
		Twinta														pipeline — no content	promised Jul 10 call
		218 Carlton Ave Townhouse														pipeline — no content	promised Jul 10 call
		870 UN Plaza														pipeline — no content	workbook pipeline row
		149 Madison Ave														pipeline — no content	workbook pipeline row
		220 W 19th St — Covision Corporate Office														pipeline — no content	workbook pipeline row
		144 W 23rd St														pipeline — no content	workbook pipeline row
		514 Broadway Loft														pipeline — no content	workbook pipeline row
		Chaps & Co Men's Barber Shop														pipeline — no content	workbook pipeline row
